Country_1,Country_2,Country_1_raw_count,Country_2_raw_count,Delay,Pearson
Afghanistan,Albania,1.0,2.0,4.0,32.023673978281515
Afghanistan,Algeria,1.0,17.0,-0.0,44.23255948629915
Afghanistan,Andorra,1.0,1.0,-0.0,62.0
Afghanistan,Angola,1.0,0.0,-61.0,nan
Afghanistan,Antigua and Barbuda,1.0,0.0,-61.0,nan
Afghanistan,Argentina,1.0,4.0,1.0,35.8701920156717
Afghanistan,Armenia,1.0,0.0,-61.0,nan
Afghanistan,Australia,1.0,7.0,2.0,31.023659129115792
Afghanistan,Austria,1.0,16.0,-0.0,53.64717257651178
Afghanistan,Azerbaijan,1.0,1.0,9.0,27.911711455294828
Afghanistan,Bahamas The,1.0,0.0,-61.0,nan
Afghanistan,Bahrain,1.0,2.0,-0.0,46.56453854597938
Afghanistan,Bangladesh,1.0,2.0,1.0,45.39666166646358
Afghanistan,Barbados,1.0,0.0,-61.0,nan
Afghanistan,Belarus,1.0,0.0,-61.0,nan
Afghanistan,Belgium,1.0,75.0,-0.0,48.79422494057795
Afghanistan,Benin,1.0,0.0,-61.0,nan
Afghanistan,Bhutan,1.0,0.0,-61.0,nan
Afghanistan,Bolivia,1.0,0.0,-61.0,nan
Afghanistan,Bosnia and Herzegovina,1.0,1.0,1.0,51.00882276626271
Afghanistan,Brazil,1.0,25.0,-0.0,53.93463452446885
Afghanistan,Brunei,1.0,0.0,-61.0,nan
Afghanistan,Bulgaria,1.0,3.0,3.0,32.006351957956184
Afghanistan,Burkina Faso,1.0,4.0,-0.0,56.09242251537279
Afghanistan,Cabo Verde,1.0,0.0,-61.0,nan
Afghanistan,Cambodia,1.0,0.0,-61.0,nan
Afghanistan,Cameroon,1.0,0.0,-61.0,nan
Afghanistan,Canada,1.0,21.0,-0.0,45.97191461548323
Afghanistan,Cape Verde,1.0,0.0,-61.0,nan
Afghanistan,Central African Republic,1.0,0.0,-61.0,nan
Afghanistan,Chad,1.0,0.0,-61.0,nan
Afghanistan,Chile,1.0,1.0,-0.0,62.0
Afghanistan,China,1.0,3274.0,14.0,13.730031998405693
Afghanistan,Colombia,1.0,2.0,-0.0,62.0
Afghanistan,Congo (Brazzaville),1.0,0.0,-61.0,nan
Afghanistan,Congo (Kinshasa),1.0,1.0,1.0,51.00882276626271
Afghanistan,Costa Rica,1.0,2.0,1.0,47.05544522553299
Afghanistan,Cote d'Ivoire,1.0,0.0,-61.0,nan
Afghanistan,Croatia,1.0,1.0,3.0,40.068691019298356
Afghanistan,Cruise Ship,1.0,8.0,1.0,18.1746297353658
Afghanistan,Cuba,1.0,1.0,4.0,36.81304116749932
Afghanistan,Cyprus,1.0,1.0,-0.0,62.0
Afghanistan,Czechia,1.0,1.0,-0.0,62.0
Afghanistan,Denmark,1.0,13.0,1.0,44.18033099674943
Afghanistan,Djibouti,1.0,0.0,-61.0,nan
Afghanistan,Dominica,1.0,0.0,-61.0,nan
Afghanistan,Dominican Republic,1.0,3.0,-0.0,46.0442869520713
Afghanistan,East Timor,1.0,0.0,-61.0,nan
Afghanistan,Ecuador,1.0,14.0,-0.0,55.25028182757289
Afghanistan,Egypt,1.0,14.0,-0.0,47.5717090874415
Afghanistan,El Salvador,1.0,0.0,-61.0,nan
Afghanistan,Equatorial Guinea,1.0,0.0,-61.0,nan
Afghanistan,Eritrea,1.0,0.0,-61.0,nan
Afghanistan,Estonia,1.0,0.0,-61.0,nan
Afghanistan,Eswatini,1.0,0.0,-61.0,nan
Afghanistan,Ethiopia,1.0,0.0,-61.0,nan
Afghanistan,Fiji,1.0,0.0,-61.0,nan
Afghanistan,Finland,1.0,1.0,1.0,51.00882276626271
Afghanistan,France,1.0,674.0,-0.0,46.81716663337395
Afghanistan,French Guiana,1.0,0.0,-61.0,nan
Afghanistan,Gabon,1.0,1.0,2.0,44.49419437784365
Afghanistan,Gambia The,1.0,0.0,-61.0,nan
Afghanistan,Georgia,1.0,0.0,-61.0,nan
Afghanistan,Germany,1.0,94.0,-0.0,44.89920092973831
Afghanistan,Ghana,1.0,1.0,1.0,51.00882276626271
Afghanistan,Greece,1.0,15.0,-0.0,46.765892193826076
Afghanistan,Greenland,1.0,0.0,-61.0,nan
Afghanistan,Grenada,1.0,0.0,-61.0,nan
Afghanistan,Guadeloupe,1.0,0.0,-61.0,nan
Afghanistan,Guam,1.0,1.0,-1.0,44.18107301905143
Afghanistan,Guatemala,1.0,1.0,6.0,32.25523213371747
Afghanistan,Guernsey,1.0,0.0,-61.0,nan
Afghanistan,Guinea,1.0,0.0,-61.0,nan
Afghanistan,Guyana,1.0,1.0,10.0,26.832815729997478
Afghanistan,Haiti,1.0,0.0,-61.0,nan
