Country_1,Country_2,Country_1_raw_count,Country_2_raw_count,Delay,Pearson
Afghanistan,Albania,1,0,-58.0,nan
Afghanistan,Algeria,1,32,-0.0,48.00712330954599
Afghanistan,Andorra,1,1,2.0,46.866017657905516
Afghanistan,Angola,1,0,-58.0,nan
Afghanistan,Antigua and Barbuda,1,0,-58.0,nan
Afghanistan,Argentina,1,3,-0.0,54.53339672186845
Afghanistan,Armenia,1,1,-1.0,53.17552410307174
Afghanistan,Australia,1,26,-0.0,29.758799945047286
Afghanistan,Austria,1,9,-0.0,40.94275471433208
Afghanistan,Azerbaijan,1,6,1.0,49.84215773498458
Afghanistan,Bahamas The,1,0,-58.0,nan
Afghanistan,Bahrain,1,100,-0.0,51.721862825214004
Afghanistan,Bangladesh,1,3,-0.0,58.35301454800076
Afghanistan,Barbados,1,0,-58.0,nan
Afghanistan,Belarus,1,5,-0.0,44.175351095835
Afghanistan,Belgium,1,1,-2.0,37.63972705334107
Afghanistan,Benin,1,0,-58.0,nan
Afghanistan,Bhutan,1,0,-58.0,nan
Afghanistan,Bolivia,1,0,-58.0,nan
Afghanistan,Bosnia and Herzegovina,1,2,-1.0,53.17552410307174
Afghanistan,Brazil,1,2,-0.0,57.469965748411965
Afghanistan,Brunei,1,1,-4.0,27.185569194221284
Afghanistan,Bulgaria,1,0,-58.0,nan
Afghanistan,Burkina Faso,1,0,-58.0,nan
Afghanistan,Cabo Verde,1,0,-58.0,nan
Afghanistan,Cambodia,1,1,33.0,20.811040704507754
Afghanistan,Cameroon,1,0,-58.0,nan
Afghanistan,Canada,1,9,-0.0,29.34394252644122
Afghanistan,Central African Republic,1,0,-58.0,nan
Afghanistan,Chad,1,0,-58.0,nan
Afghanistan,Chile,1,6,-4.0,27.185569194221284
Afghanistan,China,1,71266,-0.0,29.757974229954836
Afghanistan,Colombia,1,1,-1.0,53.17552410307174
Afghanistan,Congo (Brazzaville),1,0,-58.0,nan
Afghanistan,Congo (Kinshasa),1,0,-58.0,nan
Afghanistan,Costa Rica,1,0,-58.0,nan
Afghanistan,Cote d'Ivoire,1,1,-1.0,53.17552410307174
Afghanistan,Croatia,1,5,-0.0,55.648920734687024
Afghanistan,Cruise Ship,1,325,5.0,42.92786629977008
Afghanistan,Cuba,1,0,-58.0,nan
Afghanistan,Cyprus,1,0,-58.0,nan
Afghanistan,Czechia,1,4,-0.0,58.50274093589805
Afghanistan,Denmark,1,1,10.0,35.95985415864629
Afghanistan,Djibouti,1,0,-58.0,nan
Afghanistan,Dominican Republic,1,0,-58.0,nan
Afghanistan,Ecuador,1,0,-58.0,nan
Afghanistan,Egypt,1,39,-0.0,44.511044223337365
Afghanistan,El Salvador,1,0,-58.0,nan
Afghanistan,Equatorial Guinea,1,0,-58.0,nan
Afghanistan,Estonia,1,1,1.0,54.26273532033237
Afghanistan,Eswatini,1,0,-58.0,nan
