Country_1,Country_2,Country_1_raw_count,Country_2_raw_count,Delay,Pearson
Afghanistan,South Sudan,38398,2544,-0.0,228.34585556991703
Albania,Bosnia and Herzegovina,10255,21560,-0.0,228.62330853621944
Algeria,Dominican Republic,46364,99333,-0.0,228.6562743769291
Andorra,Switzerland,1215,44401,-0.0,228.26731463593552
Angola,Costa Rica,2965,46920,-0.0,228.7661459658944
Antigua and Barbuda,Eritrea,95,330,-0.0,224.3858922529776
Argentina,India,478792,4204613,-0.0,228.94634126383414
Armenia,Yemen,44783,1987,-0.0,228.70026619130763
Australia,Vietnam,26321,1049,-0.0,226.37275148163818
Austria,Monaco,29271,147,-0.0,227.77459123038614
Azerbaijan,Oman,37329,87072,-0.0,228.80471843539382
Bahamas,Libya,2506,17749,-0.0,227.7854399982226
Bahrain,Nigeria,55415,55005,-0.0,228.67539858115947
Bangladesh,Nigeria,325157,55005,-0.0,228.8274923489796
Barbados,Spain,178,498989,-0.0,227.82453247223827
Belarus,Somalia,72859,3362,-0.0,228.9149553935208
Belgium,Netherlands,88367,77857,-0.0,228.69850761977486
Belize,Trinidad and Tobago,1194,2250,-0.0,226.0414643748077
Benin,Azerbaijan,2213,37329,-0.0,228.13930723509117
Bhutan,Uganda,228,3667,-0.0,226.49635691240232
Bolivia,Guatemala,120769,77683,-0.0,228.8471276378241
Bosnia and Herzegovina,Albania,21560,10255,-0.0,228.62330853621944
Botswana,Costa Rica,2002,46920,-0.0,228.1944594596448
Brazil,Mexico,4137521,634023,-0.0,228.88897804573898
Brunei,Liechtenstein,145,107,-0.0,224.2856842957766
Bulgaria,Dominican Republic,17089,99333,-0.0,228.7193226103717
Burkina Faso,Denmark,1452,18310,-0.0,228.28039983876442
Burma,Jamaica,1419,3103,-0.0,225.86075163536202
Burundi,Oman,462,87072,-0.0,227.87123196935585
Cabo Verde,Indonesia,4330,194109,-0.0,228.73963300615884
Cambodia,Luxembourg,274,6950,-0.0,224.74649148308487
Cameroon,Congo (Kinshasa),19604,10210,-0.0,228.70331976671608
Canada,Turkey,133890,279806,-0.0,228.02869225152403
Central African Republic,Pakistan,4729,298903,-0.0,228.42471433060027
Chad,Somalia,1039,3362,-0.0,226.7171999303117
Chile,Congo (Kinshasa),422510,10210,-0.0,228.8727886200995
China,Diamond Princess,90058,712,-0.0,219.7841512043737
Colombia,India,666521,4204613,-0.0,228.78017299050254
Comoros,Chile,452,422510,-0.0,228.33859916952616
Congo (Brazzaville),Bulgaria,4628,17089,-0.0,228.01811133080108
Congo (Kinshasa),Chile,10210,422510,-0.0,228.8727886200995
Costa Rica,Angola,46920,2965,-0.0,228.7661459658944
Cote d'Ivoire,Azerbaijan,18588,37329,-0.0,228.76828057088872
Croatia,Greece,11964,11524,-0.0,226.66922074458157
Cuba,Georgia,4309,1650,-0.0,227.8132569665636
Cyprus,Netherlands,1509,77857,-0.0,228.348704666124
Czechia,Slovakia,28156,4614,-0.0,227.30799645593532
Denmark,Belgium,18310,88367,-0.0,228.69331919120108
Diamond Princess,China,712,90058,-0.0,219.7841512043737
Djibouti,Belarus,5388,72859,-0.0,227.71229763172204
Dominica,Iceland,22,2141,-0.0,227.08563383383526
Dominican Republic,Bulgaria,99333,17089,-0.0,228.7193226103717
Ecuador,Poland,118045,70824,-0.0,228.2138117263388
Egypt,Pakistan,99863,298903,-0.0,228.87873504018143
El Salvador,Bolivia,26308,120769,-0.0,228.66495569812733
Equatorial Guinea,Ghana,4972,44777,-0.0,226.9980813120617
Eritrea,Cote d'Ivoire,330,18588,-0.0,227.54475441304436
Estonia,Germany,2516,251728,-0.0,228.69055155861147
Eswatini,Uzbekistan,4853,43587,-0.0,228.8295247888679
Ethiopia,Syria,58672,3171,-0.0,228.54445784263217
Fiji,Saint Lucia,31,26,-0.0,225.42123906090302
Finland,United Kingdom,8291,349500,-0.0,228.1086936271001
France,Netherlands,347268,77857,-0.0,228.35117983842
Gabon,Saudi Arabia,8601,320688,-0.0,228.52157623509243
Gambia,Papua New Guinea,3197,497,-0.0,228.54963386007145
Georgia,Cuba,1650,4309,-0.0,227.8132569665636
Germany,Estonia,251728,2516,-0.0,228.69055155861147
Ghana,Mexico,44777,634023,-0.0,228.3033225515556
Greece,Malta,11524,2039,-0.0,228.109502037752
Grenada,Holy See,24,12,-0.0,227.40061700765358
Guatemala,Bolivia,77683,120769,-0.0,228.8471276378241
Guinea,Russia,9798,1022228,-0.0,228.29505997079778
Guinea-Bissau,Belarus,2245,72859,-0.0,227.88637795918183
Guyana,Morocco,1468,72394,-0.0,227.86812839665544
Haiti,Chile,8360,422510,-0.0,228.41578989316972
Holy See,Grenada,12,24,-0.0,227.40061700765358
Honduras,Bolivia,64764,120769,-0.0,228.58512327326386
Hungary,Cuba,8387,4309,-0.0,226.27126817762348
Iceland,Taiwan*,2141,493,-0.0,228.39103546895103
India,Argentina,4204613,478792,-0.0,228.94634126383414
Indonesia,Cabo Verde,194109,4330,-0.0,228.73963300615884
Iran,Poland,386658,70824,-0.0,227.35634984318824
Iraq,Mozambique,260370,4444,-0.0,228.24871009908455
Ireland,Finland,29672,8291,-0.0,228.041906826749
Israel,Bosnia and Herzegovina,130644,21560,-0.0,228.58676007669948
Italy,Estonia,277634,2516,-0.0,228.365428598544
Jamaica,Burma,3103,1419,-0.0,225.86075163536202
Japan,Romania,71918,95014,-0.0,227.5710089617533
Jordan,Czechia,2411,28156,-0.0,225.04811927949902
Kazakhstan,South Africa,106361,638517,-0.0,227.91636846940207
Kenya,Eswatini,35103,4853,-0.0,228.74648805840184
Korea South,Slovenia,21296,3165,-0.0,215.5964830474699
Kosovo,El Salvador,12683,26308,-0.0,228.5910055240409
Kuwait,Senegal,89582,13987,-0.0,228.5658648175361
Kyrgyzstan,Madagascar,44403,15319,-0.0,227.8651281540256
Laos,New Zealand,22,1776,-0.0,228.4671783991972
Latvia,Germany,1428,251728,-0.0,228.40761859443768
Lebanon,Paraguay,20426,22486,-0.0,228.3916318148833
Lesotho,Zimbabwe,1148,6837,-0.0,227.99928445586573
Liberia,Saudi Arabia,1307,320688,-0.0,228.4812808511505
Libya,Namibia,17749,8685,-0.0,228.397770051299
Liechtenstein,Taiwan*,107,493,-0.0,227.13686536920216
Lithuania,Netherlands,3083,77857,-0.0,228.34690550943068
Luxembourg,Uruguay,6950,1679,-0.0,225.45838351453307
MS Zaandam,Mauritius,9,356,-0.0,225.3089401885838
Madagascar,Malawi,15319,5614,-0.0,228.1881006119314
Malawi,South Africa,5614,638517,-0.0,228.77202878825696
Malaysia,Latvia,9397,1428,-0.0,228.18305448632043
Maldives,Ukraine,8584,139171,-0.0,227.47683824298844
Mali,Qatar,2842,120095,-0.0,228.65800028487297
Malta,Greece,2039,11524,-0.0,228.109502037752
Mauritania,Yemen,7142,1987,-0.0,227.88796677013542
Mauritius,New Zealand,356,1776,-0.0,228.43180690187816
Mexico,Brazil,634023,4137521,-0.0,228.88897804573898
Moldova,Peru,39797,683702,-0.0,228.51504960510346
Monaco,Austria,147,29271,-0.0,227.77459123038614
Mongolia,United Arab Emirates,310,73984,-0.0,227.45258513472027
Montenegro,West Bank and Gaza,5553,26127,-0.0,227.36610199740215
Morocco,Guyana,72394,1468,-0.0,227.86812839665544
Mozambique,Iraq,4444,260370,-0.0,228.24871009908455
Namibia,Libya,8685,17749,-0.0,228.397770051299
Nepal,Rwanda,46257,4374,-0.0,226.58894285915872
Netherlands,Belgium,77857,88367,-0.0,228.69850761977486
New Zealand,Laos,1776,22,-0.0,228.4671783991972
Nicaragua,Bangladesh,4668,325157,-0.0,228.23619051323186
Niger,Finland,1177,8291,-0.0,227.86250706068702
Nigeria,Bangladesh,55005,325157,-0.0,228.8274923489796
North Macedonia,Panama,15090,97043,-0.0,228.39115742444199
Norway,Switzerland,11388,44401,-0.0,228.54292265153904
Oman,Azerbaijan,87072,37329,-0.0,228.80471843539382
Pakistan,Egypt,298903,99863,-0.0,228.87873504018143
Panama,Mexico,97043,634023,-0.0,228.7536623086252
Papua New Guinea,Gambia,497,3197,-0.0,228.54963386007145
Paraguay,Lebanon,22486,20426,-0.0,228.3916318148833
Peru,Moldova,683702,39797,-0.0,228.51504960510346
Philippines,India,237365,4204613,-0.0,228.65752603965808
Poland,Ecuador,70824,118045,-0.0,228.2138117263388
Portugal,Turkey,60258,279806,-0.0,228.10100301835297
Qatar,Mali,120095,2842,-0.0,228.65800028487297
Romania,Japan,95014,71918,-0.0,227.5710089617533
Russia,Sierra Leone,1022228,2054,-0.0,228.3965343590856
Rwanda,Mozambique,4374,4444,-0.0,227.67392942513285
Saint Kitts and Nevis,New Zealand,17,1776,-0.0,227.94156224872677
Saint Lucia,Germany,26,251728,-0.0,226.7803640391077
Saint Vincent and the Grenadines,Serbia,61,31905,-0.0,227.0718955889544
San Marino,Italy,716,277634,-0.0,227.75187578401798
Sao Tome and Principe,Qatar,898,120095,-0.0,228.00798350103798
Saudi Arabia,Armenia,320688,44783,-0.0,228.57635951410043
Senegal,Kuwait,13987,89582,-0.0,228.5658648175361
Serbia,US,31905,6276365,-0.0,227.81970221531262
Seychelles,Kazakhstan,136,106361,-0.0,225.1264783194053
Sierra Leone,Sudan,2054,13437,-0.0,228.73379222457248
Singapore,Belarus,57022,72859,-0.0,227.5987324063256
Slovakia,Czechia,4614,28156,-0.0,227.30799645593532
Slovenia,Barbados,3165,178,-0.0,227.42905154295207
Somalia,Belarus,3362,72859,-0.0,228.9149553935208
