Country_1,Country_2,Country_1_raw_count,Country_2_raw_count,Delay,Pearson
Afghanistan,Egypt,1354,5085,-0.0,203.8208803618705
Albania,Argentina,208,5213,-0.0,201.61634718040108
Algeria,Romania,1333,2807,-0.0,202.8278868923629
Andorra,Switzerland,53,1991,-0.0,203.8134549634677
Angola,Eswatini,80,63,-0.0,203.51659434153527
Antigua and Barbuda,Burma,3,6,-0.0,202.1878421589028
Argentina,Colombia,5213,13837,-0.0,203.37409293288317
Armenia,Bangladesh,806,3513,-0.0,203.84713639479438
Australia,Lebanon,361,89,-0.0,200.8868529984205
Austria,Norway,724,256,-0.0,203.91138061493714
Azerbaijan,Senegal,497,242,-0.0,203.35595251297286
Bahamas,Thailand,15,58,-0.0,201.11509012673358
Bahrain,Chile,166,10205,-0.0,203.55838625311225
Bangladesh,Mexico,3513,54666,-0.0,203.9413131055249
Barbados,Burma,7,6,-0.0,203.20741131421215
Belarus,Moldova,595,863,-0.0,203.8086823883924
Belgium,Germany,9900,9213,-0.0,203.78857796746817
Belize,Antigua and Barbuda,2,3,-0.0,201.8769339534426
Benin,Bahrain,38,166,-0.0,203.0634836555187
Bhutan,Afghanistan,0,1354,-203.0,
Bolivia,El Salvador,3827,577,-0.0,203.8176018535548
Bosnia and Herzegovina,Bulgaria,453,482,-0.0,202.36796391063115
Botswana,Lebanon,2,89,-0.0,190.4851211853487
Brazil,Russia,104201,15231,-0.0,203.87015954857785
Brunei,Mali,3,125,-0.0,196.63109544388018
Bulgaria,Indonesia,482,5903,-0.0,203.40180476322445
Burkina Faso,Switzerland,54,1991,-0.0,203.74977633073848
Burma,Barbados,6,7,-0.0,203.20741131421215
Burundi,Burma,1,6,-0.0,198.75399747925098
Cabo Verde,Senegal,33,242,-0.0,202.54683932590626
Cambodia,Afghanistan,0,1354,-203.0,
Cameroon,Belarus,401,595,-0.0,202.726625171565
Canada,United Arab Emirates,9052,358,-0.0,203.53299651430348
Central African Republic,Yemen,61,528,-0.0,200.32243760278251
Chad,Tajikistan,76,63,-0.0,202.94209787858887
